NAME,PER,RA,DEC,STAR,MSTAR,TEFF,DIST
GJ 674 b,4.6938,17.47762777752346,-46.89305277824402,GJ 674,0.35,3600,4.5405
Kepler-511 b,296.637865,18.86304722256131,47.57486111111111,Kepler-511,1,5770,448
Kepler-1361 b,3.57554956,18.90435555564033,46.90425000005298,Kepler-1361,0.83,5131,404
HD 7924 c,15.299,1.366444444656372,76.7103666665819,HD 7924,0.832,5177,16.8095
Kepler-57 c,11.6092567,19.57608555581835,44.65702777756585,Kepler-57,0.83,5145,
HD 168443 c,1749.83,18.33444166666931,-9.595177777608237,HD 168443,0.995,5491,37.4252
Kepler-172 c,6.388996,18.89123055564033,41.82186111132305,Kepler-172,,5526,
Kepler-1350 b,4.4968604,19.21670555555572,46.67961111068725,Kepler-1350,0.55,3827,350
WASP-70 A b,3.7130203,21.03179916699727,-13.43325000021193,WASP-70 A,1.106,5700,245
Kepler-933 b,14.20443009,19.30457777765062,43.53861111111111,Kepler-933,0.87,5346,922
Kepler-1406 b,11.62905828,19.47212499989404,38.91502777735392,Kepler-1406,1.05,5892,587
Kepler-1530 b,2.5904434,19.21083333333333,48.16516666624281,Kepler-1530,0.92,5477,552
Kepler-400 c,17.340824,19.39630000008477,40.48003888871935,Kepler-400,,5886,
Kepler-220 e,45.902733,19.43373888889948,46.8957388888465,Kepler-220,,4632,
Kepler-1111 b,8.79617863,19.69755833307902,45.81275000042385,Kepler-1111,1.1,6077,1142
WASP-57 b,2.838971,14.92133888880412,-2.057638888888889,WASP-57,0.954,5600,455
HAT-P-37 b,2.79736,18.95307166655858,51.26911111116409,HAT-P-37,0.929,5500,411
Kepler-198 c,49.567416,19.37821111149258,38.69101111094157,Kepler-198,,5574,
Kepler-1166 b,33.2406882,19.35656666649713,50.90286111116409,Kepler-1166,0.9,5446,648
Kepler-458 c,20.74028413,19.80302777767182,46.32869444423252,Kepler-458,0.98,6065,0
Kepler-1605 b,85.7565495,19.1423249997033,47.48861111111111,Kepler-1605,0.86,5280,224
Kepler-1222 b,1.91694425,19.65931111123827,49.37977777798971,Kepler-1222,0.84,5239,455
Kepler-1635 b,469.63111,19.02326666673024,45.55619444423252,Kepler-1635,0.89,5347,1084
Kepler-615 b,10.35584657,18.83003888871935,46.32141666677263,Kepler-615,0.73,4655,330
Kepler-249 b,3.306539,19.79900000042386,43.65851944446563,Kepler-249,,3568,
WASP-106 b,9.289715,11.09531583362156,-5.079166666666667,WASP-106,1.092,6055,283
HD 81040 b,1001.7,9.396438888973659,20.36436666700575,HD 81040,0.96,5700,33.1126
HD 208527 b,875.5,21.93999444431729,21.23982222239177,HD 208527,1.6,4035,403.226
Kepler-165 b,8.180848,18.71273055606418,47.80973888927036,Kepler-165,,5211,
Kepler-28 b,5.91213,19.47580194473267,42.42941666709052,Kepler-28,0.75,4590,
Kepler-118 c,20.17202,19.94753888871935,41.42483055538601,Kepler-118,,5274,
Kepler-1216 b,4.37034536,19.16035555521647,45.91800000005298,Kepler-1216,0.99,5743,1124
HAT-P-32 b,2.150008,2.069521666632758,46.68783333354526,HAT-P-32,1.16,6207,283
GJ 163 c,25.63058,4.154069444338481,-53.37511388884651,GJ 163,0.4,,14.9948
HD 95089 b,507,10.97993333286709,1.729330555597941,HD 95089,1.38,4950,139.082
XO-3 b,3.1915426,4.364640278286403,57.81716666665343,XO-3,1.41,6429,282.997
Kepler-1380 b,10.3108245,19.20773611121707,42.44041666666666,Kepler-1380,0.96,5570,1209
Kepler-478 b,13.2217576,19.49913055525886,46.19622222264607,Kepler-478,0.85,5210,420
HD 114729 b,1114,13.21233333375719,-31.87260000016954,HD 114729,0.998,5820.94,36.1141
Kepler-122 e,37.993273,19.40746111128065,39.94911111089918,Kepler-122,,6050,
Kepler-634 b,5.16950177,19.41300555547078,40.70269444439147,Kepler-634,1.03,6075,757
Kepler-881 b,4.44448017,19.26617222256131,46.67074999994701,Kepler-881,1.06,5961,1364
Kepler-103 c,179.612,19.26561111132304,40.06444444444444,Kepler-103,1.09,5845,
Kepler-997 b,2.70730672,19.28222499953376,49.93894444465637,Kepler-997,1.22,6150,470
Kepler-1503 b,96.16987,19.58181111123827,42.80674999978807,Kepler-1503,0.77,5069,850
HD 100655 b,157.57,11.58438611110052,20.44154722213745,HD 100655,1.71,4801,122.249
Kepler-400 b,9.024389,19.39630000008477,40.48003888871935,Kepler-400,,5886,
Kepler-106 c,13.5708,20.05758333312141,44.33750000000001,Kepler-106,1,5858,
Kepler-113 b,4.754,19.19985888904995,50.94433333290947,Kepler-113,0.75,4725,
Kepler-1178 b,31.80634,19.2304027779897,45.80211111108462,Kepler-1178,0.8,4990,336
Kepler-595 b,25.30292332,19.63802499983046,50.67302777767181,Kepler-595,0.87,5247,639
HD 142415 b,386.29999,15.96136666615804,-60.20000833333315,HD 142415,1.065,5901.98,34.2349
Kepler-1359 b,59.4970952,19.30258888880412,41.89283333354526,Kepler-1359,0.78,4709,669
Kepler-785 b,1.97376093,19.4712194442749,38.84224999957615,Kepler-785,0.77,4739,666
CoRoT-9 b,95.2738,18.71911388900545,6.204138888782925,CoRoT-9,0.99,5625,459.982
HD 114386 b,937.70001,13.17775555504693,-35.05399166663487,HD 114386,0.78,4819.64,28.8934
HD 103197 b,47.84,11.88140277756585,-50.29284166653951,HD 103197,0.9,5303,53.135
Kepler-698 b,16.32976218,19.23400000002649,41.30177777780427,Kepler-698,0.94,5612,1135
Kepler-1022 b,10.99469878,19.29013333320618,46.97372222211626,Kepler-1022,0.71,4445,455
7 CMa b,763,6.611388888888889,-19.2557083331214,7 CMa,1.34,4761,19.7511
K2-3 b,10.05403,11.4889966668023,-1.454786110983954,K2-3,0.601,3896,45
Kepler-368 b,26.84768,19.45866944419013,45.38793055534363,Kepler-368,,5502,
Kepler-913 b,10.29672521,19.83887500021193,41.95244444449743,Kepler-913,0.63,4687,597
Kepler-1224 b,13.32351601,19.10838333341811,37.53730555560853,Kepler-1224,1.18,6155,578
